source_path,unit_type,source_heading,source_field,source_value,level,start_line,end_line,raw_source,classification,detailed_content,destination_repository,destination_path,destination_heading,transformation,preservation_status,review_notes
AGENTS.md,markdown-atx-heading,Instruções para agentes de IA,,Instruções para agentes de IA,1,1,2,# Instruções para agentes de IA,concept-or-structure,# Instruções para agentes de IA,ai-agent-governance-framework-next,AGENTS.md,Instruções para agentes de IA,adapt-complete-contract-to-framework-boundary,mapped,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
AGENTS.md,markdown-atx-heading,Objetivo do repositório,,Objetivo do repositório,2,3,6,## Objetivo do repositório,objective,"## Objetivo do repositório

Este repositório contém o framework de governança de agentes de IA corporativo — policy, controles, lifecycle e templates.",ai-agent-governance-framework-next,AGENTS.md,Objetivo do repositório,adapt-complete-contract-to-framework-boundary,mapped,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
AGENTS.md,markdown-atx-heading,Princípios fundamentais,,Princípios fundamentais,2,7,19,## Princípios fundamentais,concept-or-structure,"## Princípios fundamentais

1. Não tratar hipótese como fato.
2. Não tratar resultado experimental como padrão aceito.
3. Nunca alterar silenciosamente uma ADR `Accepted`; criar nova ADR e marcar a anterior como `Superseded`.
4. Priorizar fontes primárias e registrar data de acesso ou revisão quando a informação for temporal.
5. Diferenciar explicitamente evidência, interpretação, recomendação e decisão.
6. Não duplicar conteúdo existente.
7. Usar links relativos entre documentos do repositório.
8. Preservar histórico e rastreabilidade.
9. Preferir alterações pequenas, reversíveis e revisáveis.
10. Declarar limitações, incertezas e horizonte de validade.",ai-agent-governance-framework-next,AGENTS.md,Princípios fundamentais,adapt-complete-contract-to-framework-boundary,mapped,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
AGENTS.md,markdown-atx-heading,Classificação dos artefatos,,Classificação dos artefatos,2,20,47,## Classificação dos artefatos,evidence-artifact,"## Classificação dos artefatos

| Artefato | Finalidade |
|---|---|
| `docs/handbook/` | Ordem editorial, nunca segunda fonte canônica |
| `docs/fundamentals/` | Conceitos, boundaries e princípios |
| `docs/governance/` | Policy, operating model, lifecycle, controles |
| `docs/identity/` | Identidade, autenticação e autorização de agentes |
| `docs/tool-governance/` | Aprovação de ferramentas, sandbox e gates |
| `docs/data-access/` | Classificação de dados, DLP e proveniência |
| `docs/risk-management/` | Taxonomia de riscos, tiers e blast radius |
| `docs/evaluations/` | Quality gates e avaliação contínua |
| `docs/auditability/` | Logs, evidence packages e auditabilidade |
| `docs/human-oversight/` | HITL, approval flows e escalonamento |
| `docs/responsible-ai/` | Princípios, controles, safety e monitoring |
| `docs/operations/` | Runtime, resposta, containment, attestation e sunset |
| `docs/adoption/` | Enablement, paved road, suporte e feedback |
| `docs/value/` | Estratégia, portfólio, hipóteses e evidência de valor |
| `docs/patterns/` | Patterns vendor-neutral e antipatterns |
| `docs/explanations/` | Estudos de caso e contexto não normativo |
| `docs/executive/` | Briefs e comunicação orientada a decisão |
| `consulting/` | Produtificação comercial pessoal, separada da policy e do handbook |
| `schemas/` | Schemas JSON/YAML para registros estruturados |
| `controls/` | Biblioteca de controles mapeando policy para implementações |
| `templates/` | Modelos canônicos de implantação, assessment e evidência |
| `examples/` | Exemplos fictícios, sanitizados e verificáveis |
| `specs/` | Mudanças materiais com requisitos e critérios de aceite |",ai-agent-governance-framework-next,AGENTS.md,Classificação dos artefatos,adapt-complete-contract-to-framework-boundary,mapped,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
AGENTS.md,markdown-atx-heading,Antes de criar ou alterar conteúdo,,Antes de criar ou alterar conteúdo,2,48,59,## Antes de criar ou alterar conteúdo,concept-or-structure,"## Antes de criar ou alterar conteúdo

O agente deve:

1. Ler o README da área de destino.
2. Pesquisar documentos relacionados e possíveis duplicações.
3. Verificar ADRs existentes e possíveis conflitos.
4. Classificar o artefato pelo estágio de maturidade, não apenas pelo assunto.
5. Declarar os arquivos que serão criados ou alterados.
6. Preparar plano quando a mudança envolver mais de três arquivos.
7. Confirmar com o usuário antes de uma reorganização ampla ou migração.",ai-agent-governance-framework-next,AGENTS.md,Antes de criar ou alterar conteúdo,adapt-complete-contract-to-framework-boundary,mapped,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
AGENTS.md,markdown-atx-heading,Regras para ADR,,Regras para ADR,2,60,67,## Regras para ADR,concept-or-structure,"## Regras para ADR

- Criar ADR somente para decisões arquitetonicamente significativas.
- Usar apenas: `Proposed`, `Accepted`, `Rejected`, `Superseded`, `Deprecated`.
- Registrar contexto, forças, alternativas, decisão, justificativa, consequências, riscos, validação e evidências.
- Não apagar ADRs rejeitadas ou substituídas.
- Ao mudar uma decisão aceita: criar nova ADR, atualizar as referências cruzadas e o índice.",ai-agent-governance-framework-next,AGENTS.md,Regras para ADR,adapt-complete-contract-to-framework-boundary,mapped,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
AGENTS.md,markdown-atx-heading,Regras de policy e neutralidade,,Regras de policy e neutralidade,2,68,80,## Regras de policy e neutralidade,concept-or-structure,"## Regras de policy e neutralidade

- O documento principal de policy em `docs/governance/` é o artefato mais sensível.
- A policy modular é a fonte canônica em evolução; versões anteriores são apenas histórico preservado.
- Qualquer modificação deve ser revisada antes de merge.
- Alterações de policy devem incluir changelog entry explicando o motivo.
- Versões antigas da policy devem ser preservadas, nunca reescritas.
- Guidance, patterns, backlog e estudos de caso não podem ser apresentados como policy adotada.
- O núcleo e o visual principal devem permanecer vendor-neutral.
- Fornecedores pertencem somente a fontes, mappings, assessments ou estudos de caso opcionais com limitações explícitas; nunca são componentes necessários.
- A camada `consulting/` pode definir packaging e pricing, mas não pode redefinir policy, controls ou decision gates.
- Relato institucional não prova causalidade, ROI, compliance ou efetividade independente.",ai-agent-governance-framework-next,AGENTS.md,Regras de policy e neutralidade,adapt-complete-contract-to-framework-boundary,mapped,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
AGENTS.md,markdown-atx-heading,Metadados,,Metadados,2,81,91,## Metadados,concept-or-structure,"## Metadados

Quando aplicável, usar front matter com:

- `status`: `draft`, `review`, `stable`, `deprecated` ou `archived`;
- `maturity`: `hypothesis`, `observed`, `validated` ou `adopted`;
- `last_reviewed` e `review_cycle`;
- owners, tags e artefatos relacionados.

Combinações incoerentes, como `status: stable` e `maturity: hypothesis`, devem ser reportadas.",ai-agent-governance-framework-next,AGENTS.md,Metadados,adapt-complete-contract-to-framework-boundary,mapped,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
AGENTS.md,markdown-atx-heading,Qualidade mínima antes de concluir,,Qualidade mínima antes de concluir,2,92,101,## Qualidade mínima antes de concluir,concept-or-structure,"## Qualidade mínima antes de concluir

- verificar links e referências;
- verificar conflitos com ADRs;
- confirmar que conclusões são suportadas pelas evidências;
- declarar limitações e confiança;
- atualizar índices, README, ROADMAP ou CHANGELOG quando aplicável;
- validar nomes, estados e links relativos;
- inspecionar o diff Git;
- executar as verificações disponíveis.",ai-agent-governance-framework-next,AGENTS.md,Qualidade mínima antes de concluir,adapt-complete-contract-to-framework-boundary,mapped,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
CHANGELOG.md,markdown-atx-heading,Changelog,,Changelog,1,1,4,# Changelog,lifecycle-state,"# Changelog

Todas as alterações relevantes neste repositório são registradas aqui.",ai-agent-governance-framework-next,project/history/SOURCE_CHANGELOG.md,Changelog,archive-verbatim-with-provenance,archive,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
CHANGELOG.md,markdown-atx-heading,[Unreleased],,[Unreleased],2,5,8,## [Unreleased],concept-or-structure,"## [Unreleased]

Terceira auditoria do corpus contra o guia externo v3.4, executada sobre a release 1.1.0, seguida do fechamento editorial e da construção dos casos de referência. Dez achados de auditoria — nenhum fechado pela 1.1.0 — mais quatro defeitos que só apareceram ao construir os casos.",ai-agent-governance-framework-next,project/history/SOURCE_CHANGELOG.md,[Unreleased],archive-verbatim-with-provenance,archive,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
CHANGELOG.md,markdown-atx-heading,Added,,Added,3,9,24,### Added,concept-or-structure,"### Added

- Catálogo de artefatos do programa em `docs/reference/artifact-catalog.md`, com propósito, owner típico e fase de cada artefato — o instrumento de planejamento e controle de completude que o corpus descrevia e não entregava.
- Tabela normativa dos dez escaladores de risco, com criticidade mínima, efeito adicional e a pergunta correspondente do pre-screen.
- Colunas ""quando evoluir para assessment formal"" e ""efeito na aprovação"" no tiering de assurance de Responsible AI.
- Três níveis de leitura de um domínio (entender, decidir, executar) no handbook, e entrada por estágio da organização no índice.
- Termos que o corpus passou a usar e o glossário não definia, com destaque para `admissibilidade` — dimensão criada pela ADR-0009 e até aqui sem definição canônica.
- Porta de entrada única em `docs/start-here.md`: uma pergunta e quatro trilhas por papel, cada uma terminando numa decisão. As demais superfícies de navegação passam a ser declaradas como referência — somadas, ofereciam sessenta pontos de partida para uma pergunta só.
- Cláusulas mínimas de contrato com fornecedor de IA, cobrindo uso de dados para treino, versão e mudança, auditoria, incidentes, portabilidade e saída. O corpus dizia o que decidir sobre um fornecedor e não dizia o que exigir em contrato.
- Integração com o audit universe existente: onde os controls encaixam no que auditoria interna já testa, e as três diferenças que quebram o teste convencional.
- Três casos de referência em `docs/explanations/cases/` — T1 na rota rápida, T2 transacional e T3 com impacto sobre pessoas — percorrendo os gates G0–G7 com registry, blueprint e manifesto validados pelo CI. Fecham o critério 6 do checklist de autossuficiência.
- Guardrail que confere `governance.controlIds` do blueprint contra o control catalog. Um ID inexistente atravessava o gate parecendo cobertura.
- Método de mapeamento de capability para tecnologia, separado da arquitetura para que trocar de produto não exija reescrever a arquitetura.
- Template de Agent Use-Case Portfolio, o registro que faltava para as decisões de portfólio que o domínio de valor já descrevia.
- Checklist de autossuficiência, com a autoavaliação declarada deste repositório contra ele. O critério 6 fechou com os casos de referência; permanecem um aberto (nada exercitado contra estate real) e um parcial (owner e aprovador únicos).",ai-agent-governance-framework-next,project/history/SOURCE_CHANGELOG.md,Added,archive-verbatim-with-provenance,archive,Exact source section preserved after complete file reading; destination must preserve all information and source provenance.
